0,Correlation,Error_measure,Precision,tp,DailyValueTraded
AHK,-1.1,-1.1,-1.1,-1.1,5438.67735247
AHL,0.431830500108,0.0918398331987,0,0,56477.2585015
AHN,-1.1,-1.1,-1.1,-1.1,7169.02375584
AHQ,-1.1,-1.1,-1.1,-1.1,825.165551839
AHR,-1.1,-1.1,-1.1,-1.1,4212.24799422
AHY,-0.0992783864458,0.015366756027,0.5,1,3298539.93259
AHZ,-0.0141369101249,0.0485010884981,0.37681159420289856,26,170862.462814
AIA,0.111968470511,0.0120391252336,0.4418604651162791,38,459312.73986
AIB,-1.1,-1.1,-1.1,-1.1,4230.93401995
AIK,-1.1,-1.1,-1.1,-1.1,22565.7103047
AIO,-0.0218571519566,0.0204838364302,0.4166666666666667,25,21098309.6201
AIR,-1.1,-1.1,-1.1,-1.1,2676.58996109
AIV,-1.1,-1.1,-1.1,-1.1,8267.85753719
AIY,-1.1,-1.1,-1.1,-1.1,634.964840476
AIZ,-0.0163693834447,0.016068930262,0.0,0,89376.0418598
AJA,0.018520943497,0.0150333311534,0.34782608695652173,8,835849.485098
AJC,0.0530318716575,0.0509376935076,0.4,2,91334.7327205
AJD,0.0784543198613,0.00700374394353,0.38461538461538464,5,189512.198962
AJJ,-1.1,-1.1,-1.1,-1.1,3056.65916564
AJL,0.0754406188562,0.0353166854202,0,0,306994.25678
AJM,0.0724401724128,0.0343015010606,0.16666666666666666,1,113992.034743
AJQ,0.00519168241724,0.0410378282479,0,0,90518.6560209
AJR,-1.1,-1.1,-1.1,-1.1,16616.4559824
AJX,0.116856955818,0.0414187584284,0,0,216223.100205
AJY,-1.1,-1.1,-1.1,-1.1,36.2277304415
AKF,-1.1,-1.1,-1.1,-1.1,15519.57629
AKG,-1.1,-1.1,-1.1,-1.1,8541.36320514
AKK,0.111478356069,0.042091405563,0.5,1,144670.955904
AKM,0.0593829663288,0.055996826206,0.2222222222222222,6,178371.464022
AKP,-1.1,-1.1,-1.1,-1.1,36343.5233619
AKY,-1.1,-1.1,-1.1,-1.1,1506.45557351
ALA,-1.1,-1.1,-1.1,-1.1,20239.1303603
ALF,0.405214841964,0.0216513854798,0.4827586206896552,42,215943.322726
ALI,0.134467757225,0.0260195152469,0,0,122687.869863
ALK,0.0198526570037,0.0390583437276,0.7272727272727273,8,507814.285
ALL,0.0072203096708,0.0181181699758,0.4,4,11577214.5913
ALQ,-0.0643239945915,0.020521377947,0.3333333333333333,4,6275535.12096
ALR,-1.1,-1.1,-1.1,-1.1,25260.1108654
ALT,-1.1,-1.1,-1.1,-1.1,21823.397692
ALU,0.0272618537756,0.04349186175,0.4716981132075472,25,515877.395223
ALY,0.017993606184,0.0816727904851,0.0,0,109831.592639
AMA,0.0376045225307,0.0303520811585,0.22580645161290322,7,124135.725953
AMB,-1.1,-1.1,-1.1,-1.1,9203.45738181
AMC,0.0800480499512,0.0108927152145,0.7,14,27669181.5612
AMH,-1.1,-1.1,-1.1,-1.1,43383.5439591
AMI,0.0296613164668,0.0352194457368,0.35714285714285715,5,116784.80109
AMN,-1.1,-1.1,-1.1,-1.1,10010.239884
AMO,-1.1,-1.1,-1.1,-1.1,3279.480564
AMP,0.034678585226,0.0127952087402,0,0,34683509.2901
AMT,-1.1,-1.1,-1.1,-1.1,1987.35128895
ANB,-1.1,-1.1,-1.1,-1.1,3819.90916925
ANG,-0.015252822499,0.0232658242933,0.4,2,230888.811331
ANI,0.254228925217,0.00794384194362,0,0,458131.943891
ANN,0.0133956636226,0.0116837417767,0.42857142857142855,15,8938122.41706
ANO,-1.1,-1.1,-1.1,-1.1,8735.21589715
ANP,0.0866358155936,0.0578952631865,0,0,90182.9234247
ANQ,-1.1,-1.1,-1.1,-1.1,16676.1923604
ANR,-1.1,-1.1,-1.1,-1.1,47900.3912
ANW,-1.1,-1.1,-1.1,-1.1,2972.08934839
ANZ,-0.00536679417021,0.0111102808681,0.25925925925925924,7,126637569.477
AOA,-1.1,-1.1,-1.1,-1.1,1953.1213783
AOD,-1.1,-1.1,-1.1,-1.1,38345.2850083
AOG,-0.000563883152022,0.0247021201136,0.29411764705882354,5,2377427.16478
AOH,0.087598616689,0.0291355127058,0.375,9,155600.46033
AOK,0.0278016285779,0.0310239832715,0.0,0,87366.4865139
AON,-1.1,-1.1,-1.1,-1.1,23060.3852662
AOP,-1.1,-1.1,-1.1,-1.1,9281.25726569
AOU,-1.1,-1.1,-1.1,-1.1,4076.68748584
AOW,-1.1,-1.1,-1.1,-1.1,21002.9979282
APA,0.0758512626857,0.0105205135815,0.5,8,8134777.54414
APD,-1.1,-1.1,-1.1,-1.1,49047.262538
APE,0.018231054903,0.0213011602825,0.515625,66,155507.752553
APG,0.0355794609994,0.0400907124279,0.25333333333333335,57,81801.0484379
API,0.0169329810014,0.0210186120104,0.21428571428571427,3,621650.905297
APN,0.0136013674778,0.0297564324544,0,0,2408878.75005
APO,0.0479420501459,0.0181912059111,0,0,2769233.34725
APW,-1.1,-1.1,-1.1,-1.1,41798.6635682
APX,-0.0294837848179,0.0329026333378,0.6666666666666666,4,285477.841993
APY,0.026462688213,0.0494957643109,0.23529411764705882,4,142446.457879
APZ,-0.053750326187,0.0233256854818,0,0,394819.178319
AQC,-1.1,-1.1,-1.1,-1.1,35410.388376
AQD,-1.1,-1.1,-1.1,-1.1,31334.8827481
AQF,-1.1,-1.1,-1.1,-1.1,21627.7155099
AQG,-0.0676028579113,0.0281080139602,0,0,2582543.84545
AQI,-1.1,-1.1,-1.1,-1.1,5520.54232996
AQJ,-1.1,-1.1,-1.1,-1.1,3778.65651974
AQP,-0.0264059492104,0.0355691584049,0,0,3461400.18647
AQQ,-1.1,-1.1,-1.1,-1.1,26242.5608514
AQR,0.0789938467266,0.053332539646,0.34615384615384615,9,56416.4573342
AQS,-1.1,-1.1,-1.1,-1.1,1585.18183453
AQU,-1.1,-1.1,-1.1,-1.1,757.844953174
AQX,0.0219784978354,0.0630337557751,0.13513513513513514,5,57128.9950235
AQZ,0.0094145802326,0.0330770531899,0,0,94062.9547343
ARA,-1.1,-1.1,-1.1,-1.1,11749.2285905
ARB,0.0343342100947,0.0139266514258,0.42105263157894735,48,864686.778702
ARC,-1.1,-1.1,-1.1,-1.1,2020.53723472
ARD,-1.1,-1.1,-1.1,-1.1,30056.4020684
ARE,0.0545612859293,0.0437894781989,0.23157894736842105,22,53673.2598095
ARF,0.0840847064903,0.0137691460191,0.0,0,478217.595112
ARG,0.0354895543122,0.0152348533837,0.5416666666666666,13,794073.966823
ARH,0.0396075274719,0.0583266457085,0,0,189598.713796
ARI,-0.0078300337804,0.0355433728337,0,0,11436825.5335
ARJ,-1.1,-1.1,-1.1,-1.1,4331.15692935
ARK,-1.1,-1.1,-1.1,-1.1,39096.8418579
ARM,-0.0115698072515,0.031925774633,0.3333333333333333,1,57604.7775781
ARO,-1.1,-1.1,-1.1,-1.1,21561.5097595
ARS,-1.1,-1.1,-1.1,-1.1,986.520833333
ARU,-0.0370241502226,0.0399107744877,0.22857142857142856,8,497460.903427
ARV,-1.1,-1.1,-1.1,-1.1,30948.0113313
ARW,-1.1,-1.1,-1.1,-1.1,49539.1218399
ARX,-1.1,-1.1,-1.1,-1.1,31606.8320946
ASB,-0.0204493001869,0.0239186567091,0,0,677125.248584
ASH,0.0243246283967,0.0490609183286,0,0,168929.93906
ASL,-0.0331503831045,0.0317132908603,0,0,1444855.60882
ASP,-1.1,-1.1,-1.1,-1.1,2592.3364689
AST,0.0492245265959,0.0111976761652,0.23255813953488372,10,3731453.14724
ASW,-1.1,-1.1,-1.1,-1.1,5497.06012228
