0,Correlation,Error_measure,Precision,tp,DailyValueTraded
CER,-0.0451531240644,0.0182889274821,0.023086269744835967,19,1226106.79237
CFE,0.0196125139235,0.0347063822088,0.4,6,623189.422207
CFU,-0.0462267600401,0.0535853531854,0.1917808219178082,28,292122.42022
CGC,0.276738419412,0.0180690417265,0,0,3025675.71424
CGF,-0.00186812182034,0.0163286098354,0.3469387755102041,17,10538244.4832
CGH,-0.00169024048744,0.0283505983913,0.5,5,90474.0013376
CGI,-1.1,-1.1,-1.1,-1.1,542.70706344
CGL,0.0191443483627,0.0153232315295,0.3076923076923077,4,152316.879899
CGM,-1.1,-1.1,-1.1,-1.1,30694.1477976
CGN,0.15981223782,0.156168163187,0,0,79580.1380605
CGO,-1.1,-1.1,-1.1,-1.1,7005.42952723
CGR,-1.1,-1.1,-1.1,-1.1,11271.8927944
CGS,-1.1,-1.1,-1.1,-1.1,14941.9742571
CGW,-0.0101181729618,0.014094412941,0,0,317984.489627
CHC,0.0110362484669,0.0165489919716,0.46835443037974683,37,2081990.57292
CHF,-1.1,-1.1,-1.1,-1.1,8911.93364667
CHK,-1.1,-1.1,-1.1,-1.1,7569.31326658
CHN,0.073525103627,0.0289757695126,0.33766233766233766,26,71003.2263005
CHP,-1.1,-1.1,-1.1,-1.1,7214.44633674
CHR,-1.1,-1.1,-1.1,-1.1,3396.5726016
CHZ,0.0632643734457,0.0421647803661,0.42105263157894735,8,61316.9542435
CIA,-1.1,-1.1,-1.1,-1.1,13587.7141707
CIE,-1.1,-1.1,-1.1,-1.1,19305.8498452
CII,-1.1,-1.1,-1.1,-1.1,15565.4797069
CIK,-1.1,-1.1,-1.1,-1.1,3.63114754098
CIM,0.027339791438,0.0197942806459,0.4,2,17626438.3248
CIN,-1.1,-1.1,-1.1,-1.1,41922.3691925
CIR,-1.1,-1.1,-1.1,-1.1,17215.9493404
CIW,-1.1,-1.1,-1.1,-1.1,10513.2078742
CJC,0.0734233224705,0.0689917413983,0,0,223131.542236
CKA,0.0439818482519,0.0422160376681,0.2686084142394822,83,81183.3505084
CKF,0.132084650726,0.0157418676131,0.5,24,491537.773255
CKL,-1.1,-1.1,-1.1,-1.1,22232.6843275
CLA,0.137506431489,0.0527402487426,0,0,169766.878601
CLH,-0.00100795130392,0.0198697469727,0.44,77,225890.776096
CLQ,0.0223530335602,0.0425615788755,0.0,0,60122.4872524
CLT,-1.1,-1.1,-1.1,-1.1,8957.06991374
CLV,-1.1,-1.1,-1.1,-1.1,25819.9097318
CLX,-1.1,-1.1,-1.1,-1.1,9806.16125961
CLY,-1.1,-1.1,-1.1,-1.1,8678.24267976
CLZ,-1.1,-1.1,-1.1,-1.1,5205.04502203
CMA,0.0675674794507,0.00523589688755,0,0,142424.871596
CMC,-1.1,-1.1,-1.1,-1.1,13389.6379775
CMG,0.0839603143357,0.0253743242692,0.3695652173913043,34,174987.337802
CMI,-1.1,-1.1,-1.1,-1.1,23333.5244401
CMP,-1.1,-1.1,-1.1,-1.1,10276.1287531
CMR,,0.00192563027239,0.0,0,349255.559632
CMT,-1.1,-1.1,-1.1,-1.1,3502.36690196
CMW,0.110454018195,0.00987346071041,0.4305555555555556,31,1339714.23424
CMY,-1.1,-1.1,-1.1,-1.1,21534.5151342
CNB,-1.1,-1.1,-1.1,-1.1,7360.83481462
CND,-0.080848224011,0.0260754846627,0,0,56383.6261241
CNI,-1.1,-1.1,-1.1,-1.1,22254.5273431
CNJ,-1.1,-1.1,-1.1,-1.1,7537.06520745
CNL,-1.1,-1.1,-1.1,-1.1,9460.16083591
CNQ,-1.1,-1.1,-1.1,-1.1,17383.441846
CNU,0.0273546318025,0.0179959255612,0,0,696903.442721
CNW,-1.1,-1.1,-1.1,-1.1,38711.9822687
CNX,0.0060928103443,0.0531050919266,0.2926829268292683,24,426304.086087
COE,-0.0707718117182,0.0286099837768,0.2631578947368421,10,339370.943461
COF,0.0774504716856,0.0429328976978,0,0,203936.349062
COH,0.0134837663163,0.0173347266137,0,0,14157497.2453
COI,0.117606759046,0.0352207840808,0.3333333333333333,6,53417.1091772
COJ,-1.1,-1.1,-1.1,-1.1,2373.60793237
COK,-0.0054469416925,0.0494405835457,0,0,509243.929773
COM,-1.1,-1.1,-1.1,-1.1,4849.30060547
COO,-1.1,-1.1,-1.1,-1.1,9036.17420514
COT,-1.1,-1.1,-1.1,-1.1,39339.1098479
COY,-1.1,-1.1,-1.1,-1.1,13148.2748241
CPD,-1.1,-1.1,-1.1,-1.1,8741.99005186
CPL,0.0486068228611,0.036154610826,0.3848684210526316,117,577692.922677
CPS,-1.1,-1.1,-1.1,-1.1,1275.94605301
CPU,0.010922786178,0.0133027133267,0.5,1,15744238.9354
CQA,-1.1,-1.1,-1.1,-1.1,2943.60345928
CQC,-1.1,-1.1,-1.1,-1.1,4616.69138158
CQR,0.0668312294439,0.0313457567706,0.43820224719101125,39,4039964.7504
CRB,-1.1,-1.1,-1.1,-1.1,24550.7390559
CRL,-1.1,-1.1,-1.1,-1.1,2966.26530274
CRM,-1.1,-1.1,-1.1,-1.1,1800.05553609
CRQ,-1.1,-1.1,-1.1,-1.1,2169.52116711
CRX,-1.1,-1.1,-1.1,-1.1,2218.31463308
CRZ,0.0656487200433,0.0153602111675,0,0,5851910.05849
CSD,-1.1,-1.1,-1.1,-1.1,20385.7586792
CSE,-1.1,-1.1,-1.1,-1.1,33320.1202344
CSL,0.0943449316683,0.0114312142581,0.4166666666666667,5,73818912.5993
CSR,0.0293357614901,0.0167021945728,0,0,8998836.9412
CSS,0.0278227970511,0.0583059057464,0,0,138338.137299
CSV,0.00455170272487,0.0251942109899,0.6666666666666666,4,317440.460202
CTD,-0.0444944481993,0.0172150418373,0.5,1,1372633.47812
CTE,-1.1,-1.1,-1.1,-1.1,4599.83841554
CTM,-0.00208541035504,0.0398066903082,0.0,0,92265.2360796
CTN,0.210833937368,0.0312536046981,0.32558139534883723,14,167287.456566
CTO,-0.0359672439893,0.0298123620253,0,0,186070.817335
CTP,-0.0463700957772,0.0386690578027,0.16666666666666666,1,355970.257266
CTR,-1.1,-1.1,-1.1,-1.1,29700.1836314
CTT,-1.1,-1.1,-1.1,-1.1,1175.94204721
CTX,0.00469524459781,0.0174068560357,1.0,2,16213663.4681
CUE,0.0703609896136,0.0261405741906,0,0,135075.185265
CUL,0.0453165288797,0.0563460083736,0.0,0,112604.96113
CUP,-0.0397737735047,0.0119290670519,0.3333333333333333,1,52286.3831352
CUV,0.00539399782665,0.231762777612,0.47619047619047616,20,107314.449783
CUX,-1.1,-1.1,-1.1,-1.1,29122.051158
CVC,-1.1,-1.1,-1.1,-1.1,37837.1615704
CVE,-1.1,-1.1,-1.1,-1.1,10608.9643974
CVG,-1.1,-1.1,-1.1,-1.1,7537.08122759
CVN,0.0311962952477,0.0329880331278,0.27906976744186046,12,886415.20531
CVO,0.0545353344803,0.016748319656,0,0,3174374.11164
CVR,-1.1,-1.1,-1.1,-1.1,9375.90378395
CVS,-1.1,-1.1,-1.1,-1.1,1826.71946364
CVT,0.0568939483831,0.0523399228846,0.0,0,85142.7387174
CVV,-1.1,-1.1,-1.1,-1.1,16302.7206294
CVW,0.128729140034,0.0180045144943,0.3333333333333333,4,128735.918646
CWC,-1.1,-1.1,-1.1,-1.1,20775.181587
CWE,0.00657423815373,0.0347853412755,0.3333333333333333,1,108503.946613
CWH,-1.1,-1.1,-1.1,-1.1,1152.13353431
CWN,-0.0470442176204,0.0112783068876,0.0,0,15827781.6016
CWP,-0.00300285050006,0.0152025554061,0.38095238095238093,24,179533.398065
CXM,-1.1,-1.1,-1.1,-1.1,33652.7251537
CXO,-1.1,-1.1,-1.1,-1.1,36950.5611982
CXU,-1.1,-1.1,-1.1,-1.1,32605.2281172
CXX,-1.1,-1.1,-1.1,-1.1,15450.8347025
CXZ,-1.1,-1.1,-1.1,-1.1,11061.1328449
CYA,0.375130187091,0.0559052178785,0.5348837209302325,23,99402.6116948
CYC,-1.1,-1.1,-1.1,-1.1,11220.5596664
CYG,-1.1,-1.1,-1.1,-1.1,49024.0022297
CYL,-1.1,-1.1,-1.1,-1.1,8997.21365773
CYO,-1.1,-1.1,-1.1,-1.1,2769.40910594
CYP,-0.0130944848699,0.839126822988,0,0,64043.6345845
CYU,-1.1,-1.1,-1.1,-1.1,23227.2463058
CYY,-1.1,-1.1,-1.1,-1.1,22233.9675633
CZA,-0.0142705178042,0.04010558924,0.5,2,322651.149654
CZI,0.0466360593388,0.0636432928746,0.25806451612903225,16,55008.8867278
CZL,-1.1,-1.1,-1.1,-1.1,44638.2110036
CZN,-1.1,-1.1,-1.1,-1.1,35151.572104
CZR,-1.1,-1.1,-1.1,-1.1,6342.01150097
CZZ,0.0901801266293,0.0189070207486,0.3695652173913043,17,206575.065376
DAF,-1.1,-1.1,-1.1,-1.1,2668.90458453
DAU,-1.1,-1.1,-1.1,-1.1,13198.55
DCC,0.00153210559627,0.122227245987,0,0,148711.87235
DCG,0.00192968282045,0.0266430138186,0.7142857142857143,5,561795.203753
DCN,-0.0261622185094,0.0329607804711,0,0,105224.994979
DDD,-1.1,-1.1,-1.1,-1.1,3530.77911884
DDR,-1.1,-1.1,-1.1,-1.1,45533.6518127
DDT,0.0283946247616,0.0551253163991,0.13157894736842105,5,79840.4367531
DEG,-1.1,-1.1,-1.1,-1.1,21727.7144117
DFM,0.196605061499,0.0257840469753,0,0,219424.313619
DGA,-1.1,-1.1,-1.1,-1.1,4472.97682292
DGH,-1.1,-1.1,-1.1,-1.1,7272.94901244
DGO,-1.1,-1.1,-1.1,-1.1,4751.30233729
DGR,-1.1,-1.1,-1.1,-1.1,33798.9185878
DGX,-1.1,-1.1,-1.1,-1.1,14704.8263643
DIG,-1.1,-1.1,-1.1,-1.1,40650.2371598
DIR,-1.1,-1.1,-1.1,-1.1,285.728737113
DIT,-1.1,-1.1,-1.1,-1.1,0.0
DIV,-0.0917539040093,0.0102857549096,0,0,63918.7553311
DJW,0.614423911959,0.0345648954961,0.7592592592592593,41,270262.239701
DKM,-1.1,-1.1,-1.1,-1.1,49245.4032951
DKO,-1.1,-1.1,-1.1,-1.1,49006.1807866
DLC,-1.1,-1.1,-1.1,-1.1,5483.53423058
DLE,-1.1,-1.1,-1.1,-1.1,1206.11382386
DLS,0.0329968524697,0.0278841958841,0.48,12,1146819.1336
DLX,0.135330617796,0.010466696703,0.4444444444444444,4,5192195.49551
DMA,-1.1,-1.1,-1.1,-1.1,24524.5763644
DME,-1.1,-1.1,-1.1,-1.1,665.701834862
DMG,-1.1,-1.1,-1.1,-1.1,41562.2290206
DMI,-1.1,-1.1,-1.1,-1.1,4935.67277147
DML,-0.0802161741277,0.0334944771941,0.21428571428571427,3,1022833.36379
DMP,-0.00403054785274,0.0166116299261,0,0,3033471.96855
DNA,0.116502806343,0.0606418289064,0,0,352588.469384
DNK,-0.0272021860326,0.048559734928,0.325,13,183625.468591
DOT,-1.1,-1.1,-1.1,-1.1,0.0
DOW,0.00196743424983,0.019494709585,0,0,7968975.06743
DRA,0.0381809450252,0.036266488676,0,0,82522.4129054
DRG,0.0229085732731,0.0573959450112,0.24378109452736318,49,110393.097206
DRK,-1.1,-1.1,-1.1,-1.1,31122.173514
DRM,0.0123000921002,0.0310963098311,0.36363636363636365,4,374320.8085
DRX,-1.1,-1.1,-1.1,-1.1,31322.7256597
DSB,-1.1,-1.1,-1.1,-1.1,6912.83097476
DSH,-0.0951964192851,0.0347451149208,0,0,1863397.88383
DSX,0.0845932815502,0.0357078391922,0.2191780821917808,16,66219.0836605
DTI,-1.1,-1.1,-1.1,-1.1,24638.0674256
DTL,0.037948472461,0.0290129512473,0.4550561797752809,81,70261.6285402
DTM,-1.1,-1.1,-1.1,-1.1,11751.6471978
DTR,-1.1,-1.1,-1.1,-1.1,17950.0939542
DUB,-1.1,-1.1,-1.1,-1.1,29638.8167821
DUE,0.0116483444841,0.0106891429886,0.38461538461538464,10,5914750.30538
DUI,0.454006929542,0.0280964484829,0.7166666666666667,43,74446.0103677
DUO,-1.1,-1.1,-1.1,-1.1,35563.9537852
DVA,-1.1,-1.1,-1.1,-1.1,11909.5992745
DVI,-1.1,-1.1,-1.1,-1.1,35459.7121681
DVL,-1.1,-1.1,-1.1,-1.1,23912.4799764
DVN,0.0232221095264,0.0243381654211,0,0,93012.3583157
DWS,-0.0047141678258,0.0159590366353,0.3793103448275862,22,117293.88214
DXF,-1.1,-1.1,-1.1,-1.1,8047.6322314
DXS,0.00220194616102,0.0125585317208,0.0,0,17022211.9751
DYE,0.0299850828804,0.0555067561214,0,0,162220.098866
DYL,-0.0272966544581,0.0482520255131,0.2178988326848249,56,479864.426113
EAI,-1.1,-1.1,-1.1,-1.1,39782.895189
EAL,-1.1,-1.1,-1.1,-1.1,17523.6622919
EAR,-1.1,-1.1,-1.1,-1.1,19014.8724432
EAS,-1.1,-1.1,-1.1,-1.1,9150.24789218
EAX,0.0218779565886,0.0206686549733,0.5,4,86640.3140951
EBG,-1.1,-1.1,-1.1,-1.1,3798.15055488
EBO,-1.1,-1.1,-1.1,-1.1,46307.9009585
EBT,-1.1,-1.1,-1.1,-1.1,35544.7307331
ECG,-1.1,-1.1,-1.1,-1.1,41774.4493127
ECO,-1.1,-1.1,-1.1,-1.1,14972.7421222
ECX,-0.0346986242613,0.0199679801977,0,0,1768336.66407
EDE,0.139318982558,0.079068558334,0,0,118683.539326
EEG,0.130018718529,0.0408205441659,0.4264705882352941,29,54015.8421908
EER,-1.1,-1.1,-1.1,-1.1,40314.554458
EEU,0.0456413588924,0.00498117870812,0,0,71730.4658214
EFE,-1.1,-1.1,-1.1,-1.1,3581.96734591
EGG,-0.0233869002125,0.0337639388868,0,0,66179.7063243
EGH,-1.1,-1.1,-1.1,-1.1,35507.9112884
EGI,-1.1,-1.1,-1.1,-1.1,38746.4570048
EGL,-1.1,-1.1,-1.1,-1.1,4385.76916091
EGN,-0.0219798152081,0.0374551259292,0,0,92537.5249077
EGO,0.195551369699,0.048429484957,0.24411764705882352,83,514105.751693
EGY,-1.1,-1.1,-1.1,-1.1,1558.56875864
EHE,-0.0427259363633,0.0151529499049,0,0,5597172.376
EHL,-0.036176997257,0.030094143824,0.2857142857142857,4,1542553.8575
ELD,-0.0334210766364,0.0372270758563,0,0,2633171.72331
ELK,0.0496886429157,0.0441497008229,0.14705882352941177,5,74347.8917611
ELM,0.0106189561077,0.0419604851062,0.2549019607843137,13,143561.944722
ELR,-1.1,-1.1,-1.1,-1.1,954.802819957
ELT,-1.1,-1.1,-1.1,-1.1,12101.0768871
ELX,-1.1,-1.1,-1.1,-1.1,23293.4151996
EMB,-1.1,-1.1,-1.1,-1.1,1443.67093254
EME,-1.1,-1.1,-1.1,-1.1,26203.5069135
EMF,-1.1,-1.1,-1.1,-1.1,9164.28544776
EMG,-1.1,-1.1,-1.1,-1.1,19581.1927909
EMH,-1.1,-1.1,-1.1,-1.1,38903.6941399
EML,0.0320088374835,0.0570240068842,0.1,10,96375.4379179
EMR,-1.1,-1.1,-1.1,-1.1,47066.9857744
EMU,-1.1,-1.1,-1.1,-1.1,7184.17549245
EMX,-1.1,-1.1,-1.1,-1.1,18029.5544188
ENA,-1.1,-1.1,-1.1,-1.1,2805.7190367
ENB,-1.1,-1.1,-1.1,-1.1,5223.34782057
ENC,-1.1,-1.1,-1.1,-1.1,29782.1626016
ENE,0.0246116922007,0.013591993286,0.3170731707317073,13,506203.906918
ENL,-1.1,-1.1,-1.1,-1.1,931.354513522
ENN,0.0066867069757,0.0147997459766,0,0,111318.568283
ENR,-1.1,-1.1,-1.1,-1.1,28674.9685098
ENT,-1.1,-1.1,-1.1,-1.1,40701.3902838
ENU,-1.1,-1.1,-1.1,-1.1,509.443095238
ENX,-1.1,-1.1,-1.1,-1.1,35624.7235831
ENZ,-1.1,-1.1,-1.1,-1.1,21810.3511342
EOL,-1.1,-1.1,-1.1,-1.1,6564.35355903
EOR,-1.1,-1.1,-1.1,-1.1,6212.97070224
EOS,-1.1,-1.1,-1.1,-1.1,42406.4218966
EPA,-1.1,-1.1,-1.1,-1.1,16588.5710957
EPD,0.0612995991923,0.0244800052007,0.25,23,56979.804687
EPM,-1.1,-1.1,-1.1,-1.1,2213.21417635
EPW,-0.0177252719194,0.0178231175851,0.4,2,503701.542693
EPX,-0.00911738178205,0.0123291958831,0.18518518518518517,5,101847.578592
EQE,0.00543146795756,0.0668527968525,0.0,0,74316.7033177
EQT,0.0439720005308,0.0132216567706,0.43548387096774194,27,151051.784161
EQU,-1.1,-1.1,-1.1,-1.1,6803.3490956
EQX,0.0216746681628,0.0335776794019,0.39285714285714285,33,133193.644348
ERA,-0.0244109970429,0.0355114608809,0,0,4911475.99138
ERD,-1.1,-1.1,-1.1,-1.1,3473.93891925
ERI,-1.1,-1.1,-1.1,-1.1,6802.91646876
ERJ,-1.1,-1.1,-1.1,-1.1,37899.3168723
ERL,-1.1,-1.1,-1.1,-1.1,13181.8379471
ERM,0.118440433807,0.0473067724553,1.0,2,51742.2888604
ERR,-1.1,-1.1,-1.1,-1.1,9068.72906404
ERX,-1.1,-1.1,-1.1,-1.1,154.184210526
ESI,0.19894577061,0.0615476022193,0,0,160493.269173
ESK,-1.1,-1.1,-1.1,-1.1,1074.5025825
ESM,-1.1,-1.1,-1.1,-1.1,3166.08919077
ESR,-1.1,-1.1,-1.1,-1.1,7408.42336667
ESV,0.0280972656214,0.0374644555042,0,0,81639.1726735
ETE,0.0982576649263,0.0394916060511,0.3333333333333333,1,100105.400029
ETF,0.148533679159,0.00803711631765,0,0,53936.6971047
EUG,-1.1,-1.1,-1.1,-1.1,7403.08859553
EUM,-1.1,-1.1,-1.1,-1.1,1068.50986193
EVE,0.0101065471096,0.0862403004501,0,0,56316.7166738
EVM,-1.1,-1.1,-1.1,-1.1,7951.95147913
EVN,-0.0824521363467,0.0323622909098,0.42857142857142855,15,2965857.08791
EVO,-0.0423213687937,0.0190033904847,0,0,87590.7688696
EVR,0.0519957259935,0.0347605695611,0,0,301166.517356
EVZ,-1.1,-1.1,-1.1,-1.1,26789.9436525
EWC,0.054100716508,0.034804104456,0.6,6,992037.013188
EXC,-1.1,-1.1,-1.1,-1.1,11296.6478809
EXE,-1.1,-1.1,-1.1,-1.1,33635.5106086
EXG,-1.1,-1.1,-1.1,-1.1,35206.9726709
EXM,-1.1,-1.1,-1.1,-1.1,2370.65102931
EXR,-1.1,-1.1,-1.1,-1.1,25356.223339
EXU,-1.1,-1.1,-1.1,-1.1,46734.5022933
EYM,-1.1,-1.1,-1.1,-1.1,3482.78239154
EZA,-1.1,-1.1,-1.1,-1.1,2469.88427746
EZL,0.00130471192998,0.0178938014841,0.2463768115942029,17,51249.4853296
FAN,0.0671238140779,0.0196880810753,0.5,5,111939.435528
FAR,0.0317068986915,0.0409309810872,0.3333333333333333,1,462411.574249
FAS,0.0285483483357,0.0749422031488,0,0,98116.0390037
FBR,-1.1,-1.1,-1.1,-1.1,11408.1811722
FBU,0.0589506061961,0.013641833655,0.75,3,4744653.15054
FCG,-1.1,-1.1,-1.1,-1.1,7032.20538922
FCN,-0.0416088100163,0.0557939751705,0.2571428571428571,9,62817.028859
FCR,-1.1,-1.1,-1.1,-1.1,19568.772491
FEL,-1.1,-1.1,-1.1,-1.1,11966.9151507
FET,0.0664614189434,0.0106305325242,0.3963963963963964,44,262229.769891
FFC,-1.1,-1.1,-1.1,-1.1,2516.65060241
FFG,-1.1,-1.1,-1.1,-1.1,608.645147913
FFI,-1.1,-1.1,-1.1,-1.1,4783.55377385
FFT,-0.162709594793,0.0307875185853,0,0,92954.6313397
FGF,-1.1,-1.1,-1.1,-1.1,9226.84218966
FGG,0.422272254728,0.0238299163039,0,0,199186.677365
FGI,-1.1,-1.1,-1.1,-1.1,4757.01511235
FGX,0.0188441489274,0.0726069248348,0,0,2582149.83136
FID,-1.1,-1.1,-1.1,-1.1,22424.6727951
FIE,-1.1,-1.1,-1.1,-1.1,4714.40828679
FIT,-1.1,-1.1,-1.1,-1.1,963.279813845
FLK,-1.1,-1.1,-1.1,-1.1,33118.9659912
FLN,0.0278474712498,0.0325855329166,0.0,0,319547.420312
FLR,-1.1,-1.1,-1.1,-1.1,3119.10716063
FLT,0.0210867484863,0.0164867295142,0.4482758620689655,13,8985447.80426
FMG,-0.0678185031338,0.0271090271849,0.23076923076923078,3,50925812.6745
FML,-0.123123981098,0.0373897612835,0,0,661408.011363
FMS,-0.0340967734879,0.0421273877355,0.2857142857142857,26,1212741.6359
FND,-1.1,-1.1,-1.1,-1.1,48826.8463801
FNP,0.00271222768417,0.0290030397742,0.36363636363636365,24,111291.464006
FNT,0.0829510767184,0.0679605228595,0.1951219512195122,8,73427.5419096
FOY,-1.1,-1.1,-1.1,-1.1,12844.5987772
FPH,0.0593363522622,0.0157364874281,0.25,1,605146.187274
FRC,-1.1,-1.1,-1.1,-1.1,2877.8964617
FRE,-1.1,-1.1,-1.1,-1.1,21848.881715
FRI,0.0317966026723,0.016153139526,0.6,6,64132.6252502
FRM,-1.1,-1.1,-1.1,-1.1,14407.8012994
FRN,-1.1,-1.1,-1.1,-1.1,12770.6494609
FRX,-1.1,-1.1,-1.1,-1.1,19730.3887435
FRY,-1.1,-1.1,-1.1,-1.1,7422.61153636
FSA,-1.1,-1.1,-1.1,-1.1,36135.2306331
FSE,-0.0832047456054,0.055286225524,0,0,97685.3725793
FSF,0.0105650507021,0.0111646702635,0,0,682344.923903
FSI,-1.1,-1.1,-1.1,-1.1,21363.6766252
FTE,-0.0195437771068,0.0593693216984,0.3333333333333333,1,71599.9597795
FTH,-1.1,-1.1,-1.1,-1.1,37143.9408284
FTZ,-1.1,-1.1,-1.1,-1.1,14718.5169246
FUN,-0.0413609635411,0.0410831857153,0,0,158533.833039
FWD,-0.0281015181351,0.0232273832875,0,0,919855.276832
FWL,-1.1,-1.1,-1.1,-1.1,14781.9000995
FXJ,0.00724015531545,0.0218895668424,0,0,10987638.3455
FXL,0.0139520207924,0.0153505152326,0.574468085106383,27,1378256.57407
FXR,0.059114141265,0.0522385315725,0,0,161951.941779
FYI,-1.1,-1.1,-1.1,-1.1,3683.5118496
FZR,-0.0204146169034,0.0392013179931,0,0,92987.3357282
GAL,-1.1,-1.1,-1.1,-1.1,18951.9942591
GAP,-1.1,-1.1,-1.1,-1.1,24594.009426
GBA,-1.1,-1.1,-1.1,-1.1,3995.50964888
GBE,-1.1,-1.1,-1.1,-1.1,43091.7887476
GBG,0.0456754912746,0.0361915504908,0.16666666666666666,1,2034207.47132
GBI,-1.1,-1.1,-1.1,-1.1,15241.2517839
GBM,-1.1,-1.1,-1.1,-1.1,6874.84349721
GBP,-1.1,-1.1,-1.1,-1.1,36690.2499032
GBT,0.0856549988413,0.0238149840834,0.25,2,285567.856152
GBX,-1.1,-1.1,-1.1,-1.1,7943.07611138
GBZ,-1.1,-1.1,-1.1,-1.1,33498.1844795
GCN,-0.0260841317183,0.093371954706,0.2,1,60978.4947813
GCR,-1.1,-1.1,-1.1,-1.1,29813.2179248
GCS,0.0561335181178,0.0252851640488,0,0,68733.9839297
GCY,-1.1,-1.1,-1.1,-1.1,39127.5285908
GDA,0.253986201744,0.101783460538,0,0,58433.3040495
GDF,0.333418805355,0.0051584877637,0,0,149688.224153
GDI,0.0768802489151,0.0078983226151,0,0,919983.078664
GDX,0.0318010700999,0.0266797679523,0,0,299883.493036
GDY,-0.0396752881168,0.046722724867,0,0,185897.598784
GED,-1.1,-1.1,-1.1,-1.1,3080.89095936
GEG,-1.1,-1.1,-1.1,-1.1,32856.1932146
GEM,-0.0482773042531,0.0199073275242,0.35185185185185186,19,2489145.48061
GER,-1.1,-1.1,-1.1,-1.1,8755.77590948
GES,-1.1,-1.1,-1.1,-1.1,4852.4179918
GFI,-1.1,-1.1,-1.1,-1.1,3210.40604027
GFL,-1.1,-1.1,-1.1,-1.1,12677.8203816
GFY,-0.0849078608411,0.0425136415813,0,0,189114.723333
GGE,-1.1,-1.1,-1.1,-1.1,27341.2714697
GGG,-0.0264358827544,0.0366076065576,0.16666666666666666,2,308434.579824
GGH,-1.1,-1.1,-1.1,-1.1,683.22178265
GGX,-1.1,-1.1,-1.1,-1.1,14439.8249715
GHC,0.14530417873,0.0107981823916,0.37735849056603776,20,133543.539345
GID,0.0428414508912,0.0507210721622,0,0,110287.923523
GJT,0.0316984816855,0.052839111947,0.0,0,248095.402629
GLA,-1.1,-1.1,-1.1,-1.1,24722.3235917
GLB,-1.1,-1.1,-1.1,-1.1,7354.26789079
GLE,-1.1,-1.1,-1.1,-1.1,4568.39242466
GLF,-1.1,-1.1,-1.1,-1.1,25561.1505434
GLH,-1.1,-1.1,-1.1,-1.1,6597.07173486
GLL,-1.1,-1.1,-1.1,-1.1,27162.1326536
GLN,-1.1,-1.1,-1.1,-1.1,6548.18481421
GMA,0.0542916550196,0.0190528349434,0,0,5960729.73204
GMC,-1.1,-1.1,-1.1,-1.1,17138.8761057
GMD,-1.1,-1.1,-1.1,-1.1,8945.11953178
GME,-1.1,-1.1,-1.1,-1.1,25895.3155292
GMF,0.12483371337,0.00709003623128,1.0,1,447294.682662
GMG,-0.0378240298886,0.017060238102,0.425531914893617,40,21251471.8405
GML,-1.1,-1.1,-1.1,-1.1,5925.3566768
GMM,-0.0491606650005,0.0672303543572,0,0,100904.451418
GMN,-1.1,-1.1,-1.1,-1.1,3035.91698584
GMR,0.0260056274119,0.0612474855436,0.08333333333333333,1,61241.4615911
GMY,-1.1,-1.1,-1.1,-1.1,11062.1391478
GNC,-0.0409082996205,0.0191610792112,0,0,5724504.50719
GNE,0.179032874582,0.0141636066025,0,0,221337.072275
GNG,0.0176285119947,0.0250372724635,0,0,70340.7546028
GNV,-1.1,-1.1,-1.1,-1.1,2082.71509755
GNX,-1.1,-1.1,-1.1,-1.1,16956.8833333
GOE,-1.1,-1.1,-1.1,-1.1,7450.71293716
GOR,-0.0158964247352,0.0462772430787,0.225,9,299775.231682
GOW,-1.1,-1.1,-1.1,-1.1,18173.9776063
GOZ,-0.0613266591575,0.00962278973155,0.3,9,422025.504393
GPH,-1.1,-1.1,-1.1,-1.1,10161.757971
GPP,-1.1,-1.1,-1.1,-1.1,2000.32735942
GPR,-1.1,-1.1,-1.1,-1.1,9458.61524247
GPS,-1.1,-1.1,-1.1,-1.1,866.433394161
GPT,-0.0119431222139,0.0105528217557,0.2,7,22457270.1538
GRB,-1.1,-1.1,-1.1,-1.1,38746.8192319
GRF,-1.1,-1.1,-1.1,-1.1,34446.1420323
GRG,-1.1,-1.1,-1.1,-1.1,5049.7670977
GRP,-1.1,-1.1,-1.1,-1.1,51.9436374201
GRR,0.0105036105721,0.0339774084403,0.0,0,428713.987942
GRV,-1.1,-1.1,-1.1,-1.1,3202.76684296
GRY,-0.00738991328067,0.0376871280844,0.6,6,672154.62115
GSC,-1.1,-1.1,-1.1,-1.1,13761.6418364
GSE,-1.1,-1.1,-1.1,-1.1,41632.9622615
GSS,-1.1,-1.1,-1.1,-1.1,26966.4880174
GTE,-1.1,-1.1,-1.1,-1.1,33516.66607
GTG,0.137394873591,0.0486786298845,0.19047619047619047,4,66636.6771634
GTK,-0.0301362208218,0.0168543370498,0,0,140605.772087
GTR,-1.1,-1.1,-1.1,-1.1,1287.47054478
GTY,-0.00377702479827,0.0148816865009,0,0,2801408.20533
GUD,-0.00210258790169,0.0118764803112,0.5652173913043478,13,1312330.31077
GUL,-1.1,-1.1,-1.1,-1.1,8009.46917335
GVF,-1.1,-1.1,-1.1,-1.1,39905.402177
GWA,-0.0188013670602,0.0182057429426,0.0,0,1310233.62082
GWR,0.0559722150231,0.0421556721327,0,0,118009.998399
GXL,0.0447118755859,0.022458729695,0.4453125,57,1120669.47079
