0,Correlation,Error_measure,Precision,tp,DailyValueTraded
ACO,,0.000973519830074,0,0,179561.08371681417
AGF,0.187048353687,0.0647007282141,0.2318840579710145,16,284567.9945402299
AHL,-0.00439262401851,1.03457797149,0,0,56477.2585015206
ALF,0.0608129912238,0.0109954232094,0.4028436018957346,85,215943.32272601602
AUI,0.300420696787,0.0235552461414,0.3783783783783784,42,53023.90348451328
BKI,0.143412771878,0.0633950292504,0.45454545454545453,5,174214.455183854
DJW,0.269106481673,0.058196187271,0.27380952380952384,23,270262.23970141
DUI,0.171841716368,0.0226790471623,0.3142857142857143,22,74446.01036770805
FGG,0.170425363041,0.0166145978227,0.25,1,199186.67736486485
HHV,0.259001440784,0.0385624960673,0.3670886075949367,29,219026.04260436827
PGF,0.231195041461,0.0231852270868,0.375,3,139681.10054644808
RCB,0.228148012159,0.00257340303691,0,0,200001.85047923322
TGG,0.238053780214,0.0371949178489,0.37254901960784315,19,119021.29223113078
WHF,0.28882564749,0.0219980761442,0.3162393162393162,37,80397.03372961018
