Date,Symbol,Order,Shares
2014-03-02,AGF,SELL,10526.3157895
2014-03-05,AGF,BUY,10526.3157895
2014-04-21,AGF,SELL,11904.7619048
2014-04-24,AGF,BUY,11904.7619048
2014-04-27,AGF,SELL,11904.7619048
2014-04-30,AGF,BUY,11904.7619048
2014-05-02,AGF,SELL,14598.540146
2014-05-04,AGF,BUY,14598.540146
2014-05-18,AGF,SELL,12048.1927711
2014-06-08,AGF,BUY,12048.1927711
2014-06-11,AGF,SELL,12688.7450831
2014-06-15,AGF,BUY,12688.7450831
2014-11-16,AGF,SELL,9900.99009901
2014-11-19,AGF,BUY,9900.99009901
2014-12-14,AGF,SELL,8771.92982456
2014-12-17,AGF,BUY,8771.92982456
2015-01-02,AGF,SELL,8771.92982456
2015-01-04,AGF,BUY,8771.92982456
2015-01-16,AGF,SELL,6666.66666667
2015-01-23,AGF,BUY,6666.66666667
2015-01-25,AGF,SELL,8474.57627119
2015-01-28,AGF,BUY,8474.57627119
2015-01-29,AGF,SELL,6666.66666667
2015-02-01,AGF,BUY,6666.66666667
2015-03-26,AGF,SELL,6451.61290323
2015-03-29,AGF,BUY,6451.61290323
2015-04-02,AGF,SELL,7246.37681159
2015-04-04,AGF,BUY,7246.37681159
2015-04-09,AGF,SELL,6603.27522451
2015-04-12,AGF,BUY,6603.27522451
2015-04-16,AGF,SELL,5555.55555556
2015-04-23,AGF,BUY,5555.55555556
2015-04-24,AGF,SELL,5025.12562814
2015-04-28,AGF,BUY,5025.12562814
2015-06-06,AGF,SELL,5780.34682081
2015-06-08,AGF,BUY,5780.34682081
2015-06-11,AGF,SELL,4342.91670286
2015-06-14,AGF,BUY,4342.91670286
2015-07-18,AGF,SELL,5231.49359142
2015-07-21,AGF,BUY,5231.49359142
2015-10-17,AGF,SELL,6451.61290323
2015-10-20,AGF,BUY,6451.61290323
2015-11-15,AGF,SELL,5649.71751412
2015-11-18,AGF,BUY,5649.71751412
2016-01-03,AGF,SELL,6250.0
2016-01-06,AGF,BUY,6250.0
2016-01-28,AGF,SELL,12500.0
2016-01-30,AGF,BUY,12500.0
2016-03-27,AGF,SELL,7633.58778626
2016-03-30,AGF,BUY,7633.58778626
2016-04-20,AGF,SELL,12422.3602484
2016-04-22,AGF,BUY,12422.3602484
2016-04-27,AGF,SELL,12345.6790123
2016-04-29,AGF,BUY,12345.6790123
2016-06-05,AGF,SELL,10101.010101
2016-06-08,AGF,BUY,10101.010101
2016-06-15,AGF,SELL,9708.73786408
2016-06-19,AGF,BUY,9708.73786408
2016-06-25,AGF,SELL,9708.73786408
2016-06-28,AGF,BUY,9708.73786408
