,Date,Symbol,Order,Shares
57,2016-06-19,AGF,BUY,9708.73786408
41,2016-06-19,TGG,BUY,7541.47812971
91,2016-06-20,AUI,BUY,1388.88888889
84,2016-06-22,ALF,BUY,7042.25352113
92,2016-06-23,AUI,SELL,1388.88888889
76,2016-06-25,DUI,SELL,2739.7260274
62,2016-06-25,HHV,SELL,6912.28312712
81,2016-06-25,WHF,SELL,2116.08862179
58,2016-06-25,AGF,SELL,9708.73786408
10,2016-06-25,PGF,SELL,10205.1229717
93,2016-06-25,AUI,SELL,1278.77237852
64,2016-06-25,DJW,BUY,3115.26479751
63,2016-06-28,HHV,BUY,6912.28312712
77,2016-06-28,DUI,BUY,2739.7260274
59,2016-06-28,AGF,BUY,9708.73786408
82,2016-07-01,WHF,BUY,2116.08862179
