,Date,Symbol,Order,Shares
26,2014-11-02,WHF,SELL,2173.91304348
21,2014-11-03,DJW,SELL,2557.54475703
22,2014-11-04,ALF,BUY,6309.14826498
27,2014-11-06,WHF,BUY,2173.91304348
28,2014-11-13,WHF,SELL,2320.18561485
23,2014-11-14,ALF,SELL,6309.14826498
24,2014-11-15,ALF,BUY,6493.50649351
29,2014-11-15,WHF,BUY,2320.18561485
22,2014-11-16,DJW,BUY,2710.02710027
30,2014-11-16,WHF,SELL,2173.91304348
28,2014-11-16,DUI,SELL,2590.67357513
25,2014-11-16,HHV,SELL,7712.47879068
12,2014-11-16,AGF,SELL,9900.99009901
25,2014-11-17,ALF,SELL,6493.50649351
29,2014-11-19,DUI,BUY,2590.67357513
13,2014-11-19,AGF,BUY,9900.99009901
23,2014-11-19,DJW,SELL,2710.02710027
26,2014-11-19,HHV,BUY,7712.47879068
32,2014-11-19,AUI,BUY,1149.42528736
31,2014-11-19,WHF,BUY,2173.91304348
30,2014-11-20,DUI,SELL,2590.67357513
32,2014-11-20,WHF,SELL,2173.91304348
24,2014-11-20,DJW,BUY,2710.02710027
31,2014-11-23,DUI,BUY,2590.67357513
26,2014-11-29,ALF,BUY,6369.42675159
33,2014-12-04,WHF,BUY,4537.97923733
27,2014-12-05,ALF,SELL,6369.42675159
34,2014-12-06,WHF,SELL,2364.06619385
28,2014-12-06,ALF,BUY,6578.94736842
35,2014-12-07,WHF,SELL,2173.91304348
32,2014-12-12,DUI,BUY,2777.77777778
36,2014-12-13,WHF,BUY,2173.91304348
14,2014-12-14,AGF,SELL,8771.92982456
15,2014-12-17,AGF,BUY,8771.92982456
37,2014-12-17,WHF,SELL,2262.44343891
38,2014-12-22,WHF,BUY,2262.44343891
39,2014-12-24,WHF,SELL,2267.05962367
25,2014-12-26,DJW,SELL,2710.02710027
33,2014-12-26,DUI,SELL,5555.55555556
26,2014-12-27,DJW,BUY,2832.8611898000004
34,2014-12-29,DUI,BUY,2777.77777778
27,2015-01-01,DJW,SELL,2832.8611898000004
16,2015-01-02,AGF,SELL,8771.92982456
28,2015-01-02,DJW,BUY,2808.98876404
17,2015-01-04,AGF,BUY,8771.92982456
40,2015-01-14,WHF,BUY,2267.05962367
41,2015-01-15,WHF,SELL,2192.98245614
18,2015-01-16,AGF,SELL,6666.66666667
42,2015-01-18,WHF,BUY,2192.98245614
43,2015-01-21,WHF,SELL,2192.98245614
2,2015-01-23,BKI,SELL,6060.60606061
19,2015-01-23,AGF,BUY,6666.66666667
27,2015-01-23,HHV,SELL,7874.01574803
33,2015-01-24,AUI,SELL,1219.51219512
3,2015-01-25,BKI,BUY,6060.60606061
20,2015-01-25,AGF,SELL,8474.57627119
28,2015-01-25,HHV,BUY,7874.01574803
29,2015-01-25,DJW,SELL,2808.98876404
35,2015-01-25,DUI,BUY,2932.55131965
34,2015-01-26,AUI,BUY,2439.02439024
