,ALF,AUI,WHF,DJW,DUI,HHV,AGF,TGG,BKI,PGF,FGG,Cash,TotalValue,Adj Close_ALF,Adj Close_AUI,Adj Close_WHF,Adj Close_DJW,Adj Close_DUI,Adj Close_HHV,Adj Close_AGF,Adj Close_TGG,Adj Close_BKI,Adj Close_PGF,Adj Close_FGG
2014-01-24,0.0,-1257.86163522,2551.02040816,0,0,0,0,0,0,0,0,29820.23952096977,30687.58645973237,1.66,7.95,4.26,4.85,3.49,1.04,0.8,1.46,1.61,1.0,1.055
2014-01-25,6024.09638554,-1257.86163522,2551.02040816,0,0,0,0,0,0,0,0,19800.23952097338,30667.586459732378,1.66,7.95,4.26,4.85,3.49,1.04,0.8,1.46,1.61,1.0,1.055
2014-01-26,6024.09638554,-1257.86163522,-2347.41784038,0,0,0,0,0,0,0,0,40625.85176587622,30625.851765854823,1.66,7.95,4.26,4.85,3.49,1.04,0.8,1.46,1.61,1.0,1.055
2014-01-27,6024.09638554,0.0,-2347.41784038,0,0,0,0,0,0,0,0,29887.436671537675,29887.436671515272,1.66,8.52,4.26,3.76,3.76,1.2016,0.98,1.42,1.61,1.0,1.055
2014-01-28,6024.09638554,0.0,-2347.41784038,0,0,0,0,0,0,0,0,29887.436671537675,30752.870236764073,1.64,7.92,3.84,4.66,3.46,1.015,0.785,1.445,1.58,0.99,1.055
2014-01-29,6024.09638554,-1265.82278481,0.0,2145.92274678,-2857.14285714,-9803.92156863,0,0,0,0,0,40681.23948841875,30590.878042635253,1.645,7.9,3.88,4.66,3.5,1.02,0.79,1.435,1.59,0.995,1.055
2014-01-30,6024.09638554,-1265.82278481,2590.67357513,2145.92274678,-2857.14285714,-9803.92156863,0,0,0,0,0,30661.239488416948,29636.8342735813,1.635,8.52,3.86,4.55,3.5,1.005,0.785,1.42,1.595,0.985,1.055
2014-01-31,6024.09638554,1215.06682868,2590.67357513,0.0,0.0,0.0,0,0,0,0,0,-4371.98743793516,26241.346727777836,1.65,8.23,4.12,3.55,3.63,1.1997,0.97,1.4,1.59,0.9940000000000001,1.055
2014-02-01,6024.09638554,1215.06682868,2590.67357513,0.0,0.0,0.0,0,0,0,0,0,-4371.98743793516,26241.346727777836,1.65,8.23,4.12,3.55,3.63,1.1997,0.97,1.4,1.59,0.9940000000000001,1.055
2014-02-02,6024.09638554,-1215.0668286699997,-2427.18446602,2816.90140845,0.0,-8335.41718763,0,0,0,0,0,36180.2405413365,26119.999577518785,1.65,8.23,4.12,3.55,3.63,1.1997,0.97,1.4,1.59,0.9940000000000001,1.055
2014-02-03,6024.09638554,-1215.0668286699997,-2427.18446602,2816.90140845,0.0,-8335.41718763,0,0,0,0,0,36180.2405413365,29752.205385196048,1.64,8.52,4.26,4.56,3.76,1.015,0.78,1.42,1.6,0.985,1.055
2014-02-04,6024.09638554,1.0000348993344232e-08,-2427.18446602,2816.90140845,0.0,-8335.41718763,0,0,0,0,0,26683.76423510509,31462.03898078344,1.635,7.8,3.86,4.47,3.41,0.995,0.775,1.38,1.57,0.985,1.055
2014-02-05,6024.09638554,1.0000348993344232e-08,-2427.18446602,0.0,0.0,0.0,0,0,0,0,0,31178.352022894156,31725.78447120596,1.63,7.8,3.82,4.54,3.4,0.99,0.77,1.4,1.57,0.99,1.055
2014-02-06,6024.09638554,1.0000348993344232e-08,0.0,0.0,2898.55072464,0.0,0,0,0,0,0,11770.682119971265,31650.20019235007,1.64,8.52,3.86,4.5,3.45,0.995,0.775,1.385,1.605,0.99,1.055
2014-02-07,6024.09638554,1.0000348993344232e-08,0.0,0.0,2898.55072464,0.0,0,0,0,0,0,11770.682119971265,31855.368692431664,1.65,7.94,3.9,4.49,3.5,1.0,0.795,1.39,1.63,0.99,1.055
2014-02-08,6024.09638554,-1259.4458438199997,0.0,0.0,2898.55072464,0.0,0,0,0,0,0,21750.682119981444,31835.368692431643,1.65,7.94,3.9,4.49,3.5,1.0,0.795,1.39,1.63,0.99,1.055
2014-02-09,6024.09638554,-1259.4458438199997,0.0,0.0,2898.55072464,0.0,0,0,0,0,0,21750.682119981444,31835.368692431643,1.65,7.94,3.9,4.49,3.5,1.0,0.795,1.39,1.63,0.99,1.055
2014-02-10,6024.09638554,1251.564455580001,0.0,0.0,0.0,0.0,0,0,0,0,0,11772.221564358546,31832.46252829455,1.67,7.99,3.9,4.54,3.5,1.01,0.805,1.39,1.62,1.0,1.055
2014-02-11,6024.09638554,1251.564455580001,0.0,0.0,0.0,0.0,0,0,0,0,0,11772.221564358546,31707.306082736555,1.67,7.89,3.95,4.5,3.47,1.035,0.81,1.37,1.59,0.985,1.055
2014-02-12,0.0,1251.564455580001,0.0,0.0,0.0,0.0,0,0,0,0,0,21872.46252821033,31884.978172850337,1.68,8.0,3.97,4.51,3.52,1.03,0.82,1.37,1.58,0.985,1.055
2014-02-13,0.0,1251.564455580001,0.0,0.0,0.0,0.0,0,0,0,0,0,21872.46252821033,31822.39995007134,1.68,7.95,3.97,4.51,3.51,1.025,0.815,1.4,1.58,0.995,1.055
2014-02-14,0.0,1251.564455580001,0.0,0.0,0.0,0.0,0,0,0,0,0,21872.46252821033,31947.55639562934,1.685,8.05,3.97,4.5,3.55,1.035,0.815,1.395,1.625,1.0,1.055
2014-02-15,5934.71810089,1251.564455580001,0.0,0.0,0.0,0.0,0,0,0,0,0,11852.462528210679,31927.55639562934,1.685,8.05,3.97,4.5,3.55,1.035,0.815,1.395,1.625,1.0,1.055
2014-02-16,5934.71810089,1251.564455580001,0.0,0.0,0.0,0.0,0,0,0,0,0,11852.462528210679,31927.55639562934,1.685,8.05,3.97,4.5,3.55,1.035,0.815,1.395,1.625,1.0,1.055
2014-02-17,5934.71810089,1251.564455580001,0.0,0.0,0.0,0.0,0,0,0,0,0,11852.462528210679,31927.55639562934,1.685,8.05,3.99,4.52,3.6,1.05,0.82,1.42,1.615,1.0,1.055
2014-02-18,5934.71810089,1.0001031114370562e-08,0.0,0.0,0.0,0.0,0,0,0,0,0,21907.406207814503,31996.42697940801,1.7,8.05,4.01,4.52,3.63,1.055,0.825,1.42,1.61,1.0,1.055
2014-02-19,5934.71810089,1.0001031114370562e-08,0.0,0.0,0.0,0.0,0,0,0,0,0,21907.406207814503,31937.079798400213,1.69,8.16,4.01,4.49,3.67,1.045,0.825,1.42,1.62,0.995,1.055
2014-02-20,5934.71810089,1.0001031114370562e-08,0.0,0.0,0.0,0.0,0,0,0,0,0,21907.406207814503,31966.753388904865,1.695,8.18,4.02,4.53,3.57,1.06,0.82,1.43,1.605,1.0,1.055
2014-02-21,5934.71810089,1.0001031114370562e-08,0.0,0.0,0.0,0.0,0,0,0,0,0,21907.406207814503,31966.75338890266,1.695,7.96,4.01,4.53,3.55,1.07,0.815,1.445,1.61,1.005,1.055
2014-02-22,5934.71810089,1.0001031114370562e-08,0.0,0.0,0.0,0.0,0,0,0,0,0,21907.406207814503,31966.75338890266,1.695,7.96,4.01,4.53,3.55,1.07,0.815,1.445,1.61,1.005,1.055
2014-02-23,5934.71810089,1.0001031114370562e-08,0.0,0.0,0.0,9345.79439252,0,0,0,0,0,11887.40620781811,31946.753388902667,1.695,7.96,4.01,4.53,3.55,1.07,0.815,1.445,1.61,1.005,1.055
2014-02-24,5934.71810089,1.0001031114370562e-08,0.0,0.0,0.0,9345.79439252,0,0,0,0,0,11887.40620781811,32116.61389529532,1.7,8.0,4.03,4.55,3.76,1.085,0.805,1.435,1.6,1.0,1.055
2014-02-25,5934.71810089,1.0001031114370562e-08,0.0,0.0,0.0,9345.79439252,0,0,0,0,0,11887.40620781811,32069.884923337915,1.7,8.52,4.02,4.58,3.52,1.08,0.805,1.46,1.61,1.005,1.055
2014-02-26,5934.71810089,1.0001031114370562e-08,0.0,0.0,-2840.90909091,9345.79439252,0,0,0,0,0,21867.406207821303,31926.75338890276,1.695,7.97,4.02,4.63,3.52,1.07,0.795,1.42,1.605,1.0,1.055
2014-02-27,5934.71810089,-1254.7051442799989,0.0,0.0,-2840.90909091,9345.79439252,0,0,0,0,0,31847.406207812623,31865.726088947384,1.685,7.97,4.03,4.59,3.53,1.075,0.795,1.42,1.61,0.995,1.055
2014-02-28,5934.71810089,-1254.7051442799989,0.0,0.0,0.0,9345.79439252,0,0,0,0,0,21201.156207809214,32040.76699425029,1.695,8.49,4.35,3.73,3.74,1.2233,0.95,1.45,1.62,0.9802,1.055
2014-03-01,5934.71810089,1.0001031114370562e-08,0.0,0.0,0.0,9345.79439252,0,0,0,0,0,10527.404639437069,32019.462100900244,1.695,8.49,4.35,3.73,3.74,1.2233,0.95,1.45,1.62,0.9802,1.055
2014-03-02,5934.71810089,-1177.856301519999,-2298.85057471,2680.96514745,-2673.79679144,-8174.609662380002,-10526.3157895,0,0,0,0,61817.24949923586,31876.596680339564,1.695,8.49,4.35,3.73,3.74,1.2233,0.95,1.45,1.62,0.9802,1.055
2014-03-03,5934.71810089,-1177.856301519999,-2298.85057471,2680.96514745,-2673.79679144,-8174.609662380002,-10526.3157895,0,0,0,0,61817.24949923586,38473.792211333566,1.68,8.0,4.02,4.54,3.63,1.07,0.795,1.4,1.57,1.0,1.055
2014-03-04,5934.71810089,-1177.856301519999,-2298.85057471,2680.96514745,-2673.79679144,-8174.609662380002,-10526.3157895,0,0,0,0,61817.24949923586,39026.89969874061,1.695,8.0,4.01,4.54,3.5,1.065,0.79,1.38,1.59,0.995,1.055
2014-03-05,5934.71810089,1.0001031114370562e-08,0.0,0.0,0.0,9.9980752565898e-09,0.0,0,0,0,0,28162.390863017994,38251.41163462175,1.7,8.0,4.03,4.59,3.76,1.075,0.79,1.32,1.61,1.0,1.055
2014-03-06,5934.71810089,1.0001031114370562e-08,0.0,0.0,2816.90140845,9.9980752565898e-09,0.0,0,0,0,0,18142.3908630205,38290.75881563031,1.71,7.95,4.05,4.54,3.55,1.09,0.79,1.32,1.605,1.005,1.055
2014-03-07,5934.71810089,1.0001031114370562e-08,0.0,0.0,2816.90140845,9.9980752565898e-09,0.0,0,0,0,0,18142.3908630205,38971.32888291756,1.725,7.9,4.04,4.56,3.76,1.08,0.78,1.325,1.61,1.005,1.055
2014-03-08,5934.71810089,1.0001031114370562e-08,0.0,0.0,2816.90140845,9.9980752565898e-09,0.0,0,0,0,0,18142.3908630205,38971.32888291756,1.725,7.9,4.04,4.56,3.76,1.08,0.78,1.325,1.61,1.005,1.055
2014-03-09,5934.71810089,1.0001031114370562e-08,0.0,0.0,-2659.57446809,9.9980752565898e-09,0.0,0,0,0,0,38692.757060219315,38930.14578432597,1.725,7.9,4.04,4.56,3.76,1.08,0.78,1.325,1.61,1.005,1.055
2014-03-10,5934.71810089,1.0001031114370562e-08,0.0,0.0,-2659.57446809,9.9980752565898e-09,0.0,0,0,0,0,38692.757060219315,39538.77006616357,1.72,7.94,4.03,4.56,3.52,1.085,0.765,1.32,1.6,1.0,1.055
2014-03-11,5934.71810089,1.0001031114370562e-08,0.0,0.0,-2659.57446809,9.9980752565898e-09,0.0,0,0,0,0,38692.757060219315,39319.84841706937,1.71,7.95,4.04,4.57,3.58,1.085,0.775,1.32,1.61,1.0,1.055
2014-03-12,5934.71810089,1.0001031114370562e-08,0.0,0.0,2832.8611897999995,9.9980752565898e-09,0.0,0,0,0,0,19265.682592122914,39532.744906747466,1.73,8.0,4.04,4.56,3.53,1.085,0.77,1.3,1.6,1.0,1.055
2014-03-13,5934.71810089,1.0001031114370562e-08,0.0,0.0,2832.8611897999995,9.9980752565898e-09,0.0,0,0,0,0,19265.682592122914,39561.07351864637,1.73,8.09,4.07,4.53,3.54,1.085,0.78,1.31,1.59,1.0,1.055
2014-03-14,5934.71810089,1.0001031114370562e-08,0.0,0.0,2832.8611897999995,9.9980752565898e-09,0.0,0,0,0,0,19265.682592122914,39331.75466624851,1.72,8.0,4.1,4.59,3.48,1.08,0.775,1.29,1.58,0.99,1.055
2014-03-15,5934.71810089,1.0001031114370562e-08,0.0,0.0,2832.8611897999995,9.9980752565898e-09,0.0,0,0,0,0,19265.682592122914,39331.75466624851,1.72,8.0,4.1,4.59,3.48,1.08,0.775,1.29,1.58,0.99,1.055
2014-03-16,5934.71810089,1.0001031114370562e-08,0.0,0.0,2832.8611897999995,9.9980752565898e-09,0.0,0,0,0,0,19265.682592122914,39331.75466624851,1.72,8.0,4.1,4.59,3.48,1.08,0.775,1.29,1.58,0.99,1.055
2014-03-17,5934.71810089,1.0001031114370562e-08,0.0,0.0,2832.8611897999995,9.9980752565898e-09,0.0,0,0,0,0,19265.682592122914,39418.08548054907,1.725,8.0,4.05,4.62,3.5,1.09,0.76,1.29,1.585,1.005,1.055
2014-03-18,5934.71810089,1.0001031114370562e-08,0.0,0.0,2832.8611897999995,9.9980752565898e-09,0.0,0,0,0,0,19265.682592122914,40095.282208893266,1.715,8.52,4.14,4.6,3.76,1.08,0.77,1.3,1.605,1.005,1.055
2014-03-19,5934.71810089,1.0001031114370562e-08,0.0,0.0,2832.8611897999995,9.9980752565898e-09,0.0,0,0,0,0,19265.682592122914,39362.77323536077,1.73,8.12,4.08,4.63,3.47,1.095,0.76,1.3,1.605,1.005,1.055
2014-03-20,5934.71810089,-1249.999999989999,0.0,0.0,-2881.84438041,9.9980752565898e-09,0.0,0,0,0,0,49036.05086409436,39303.113178702115,1.73,8.0,4.08,4.53,3.47,1.075,0.755,1.295,1.6,1.0,1.055
2014-03-21,5934.71810089,-1249.999999989999,0.0,0.0,-2881.84438041,9.9980752565898e-09,0.0,0,0,0,0,49036.05086409436,39270.09724732052,1.74,8.12,4.08,4.57,3.45,1.085,0.755,1.3,1.59,1.0,1.055
2014-03-22,5934.71810089,1.0001031114370562e-08,0.0,0.0,-9.99943949864246e-09,9.9980752565898e-09,0.0,0,0,0,0,28903.5030254896,39229.91252109576,1.74,8.12,4.08,4.57,3.45,1.085,0.755,1.3,1.59,1.0,1.055
2014-03-23,5934.71810089,1.0001031114370562e-08,0.0,0.0,-9.99943949864246e-09,9.9980752565898e-09,0.0,0,0,0,0,28903.5030254896,39229.91252109576,1.74,8.12,4.08,4.57,3.45,1.085,0.755,1.3,1.59,1.0,1.055
2014-03-24,5934.71810089,1.0001031114370562e-08,0.0,0.0,-9.99943949864246e-09,9.9980752565898e-09,0.0,0,0,0,0,28903.5030254896,38725.46148251866,1.655,8.0,4.08,4.54,3.48,1.09,0.755,1.3,1.6,1.005,1.055
2014-03-25,5934.71810089,1.0001031114370562e-08,0.0,0.0,-9.99943949864246e-09,9.9980752565898e-09,0.0,0,0,0,0,28903.5030254896,38784.80866352776,1.665,8.08,4.1,4.52,3.54,1.09,0.775,1.3,1.585,1.005,1.055
2014-03-26,5934.71810089,1.0001031114370562e-08,0.0,0.0,-9.99943949864246e-09,9.9980752565898e-09,0.0,0,0,0,0,28903.5030254896,38903.50302554471,1.685,8.0,4.14,4.52,3.54,1.085,0.77,1.295,1.605,0.995,1.055
2014-03-27,5934.71810089,1.0001031114370562e-08,0.0,0.0,-9.99943949864246e-09,9.9980752565898e-09,0.0,0,0,0,0,28903.5030254896,38844.15584453601,1.675,8.0,4.16,4.45,3.52,1.085,0.75,1.295,1.595,1.0,1.055
2014-03-28,5934.71810089,1.0001031114370562e-08,0.0,0.0,-9.99943949864246e-09,9.9980752565898e-09,0.0,0,0,0,0,28903.5030254896,38873.82943504141,1.68,8.1,4.2,4.52,3.51,1.07,0.76,1.29,1.6,1.0,1.055
2014-03-29,5934.71810089,1.0001031114370562e-08,0.0,0.0,-9.99943949864246e-09,9.9980752565898e-09,0.0,0,0,0,0,28903.5030254896,38873.82943504141,1.68,8.1,4.2,4.52,3.51,1.07,0.76,1.29,1.6,1.0,1.055
2014-03-30,5934.71810089,1.0001031114370562e-08,0.0,0.0,-9.99943949864246e-09,9.9980752565898e-09,0.0,0,0,0,0,28903.5030254896,38873.82943504141,1.68,8.1,4.2,4.52,3.51,1.07,0.76,1.29,1.6,1.0,1.055
2014-03-31,5934.71810089,1.0001031114370562e-08,0.0,0.0,-9.99943949864246e-09,9.9980752565898e-09,0.0,0,0,0,0,28903.5030254896,38814.482254035516,1.67,8.52,4.39,3.74,3.76,1.2008,0.84,1.37,1.63,0.9509,1.055
2014-04-01,5934.71810089,1.0001031114370562e-08,0.0,0.0,-9.99943949864246e-09,9.9980752565898e-09,0.0,0,0,0,0,28903.5030254896,38844.15584453576,1.675,8.05,4.16,4.5,3.55,1.04,0.735,1.29,1.61,0.985,1.055
2014-04-02,5934.71810089,-1173.708920179999,-2392.34449761,2217.29490022,-2793.2960893999993,-9661.835748780002,0.0,0,0,0,0,58803.50302553978,38714.48225403559,1.67,8.52,4.18,4.51,3.58,1.035,0.73,1.305,1.6,1.0,1.055
2014-04-03,5934.71810089,-1173.708920179999,-2392.34449761,2217.29490022,-2793.2960893999993,-9661.835748780002,0.0,0,0,0,0,58803.50302553978,38954.63712011114,1.665,8.3,4.2,4.53,3.54,1.045,0.74,1.295,1.61,1.0,1.055
2014-04-04,5934.71810089,-1173.708920179999,-2392.34449761,0.0,-9.99943949864246e-09,9.997165761888027e-09,0.0,0,0,0,0,48829.18113878363,39020.951974999734,1.67,8.24,4.2,4.52,3.54,1.04,0.745,1.305,1.615,0.99,1.055
2014-04-05,5934.71810089,1.0001031114370562e-08,-2392.34449761,0.0,-9.99943949864246e-09,9.997165761888027e-09,0.0,0,0,0,0,39138.476913413295,39001.609251995,1.67,8.24,4.2,4.52,3.54,1.04,0.745,1.305,1.615,0.99,1.055
2014-04-06,5934.71810089,1.0001031114370562e-08,0.0,0.0,-9.99943949864246e-09,9.997165761888027e-09,0.0,0,0,0,0,29070.53432967137,38981.513558215076,1.67,8.24,4.2,4.52,3.54,1.04,0.745,1.305,1.615,0.99,1.055
2014-04-07,5934.71810089,1.0001031114370562e-08,0.0,0.0,-9.99943949864246e-09,9.997165761888027e-09,0.0,0,0,0,0,29070.53432967137,38951.83996770898,1.665,8.08,4.14,4.54,3.54,1.035,0.735,1.3,1.62,0.99,1.055
2014-04-08,5934.71810089,1.0001031114370562e-08,0.0,0.0,-9.99943949864246e-09,9.997165761888027e-09,0.0,0,0,0,0,29070.53432967137,38922.166377206624,1.66,8.52,4.14,4.52,3.76,1.025,0.75,1.27,1.63,0.98,1.055
2014-04-09,5934.71810089,1.0001031114370562e-08,0.0,0.0,-9.99943949864246e-09,9.997165761888027e-09,0.0,0,0,0,0,29070.53432967137,39011.18714871743,1.675,8.05,4.18,4.55,3.54,1.02,0.75,1.255,1.64,0.97,1.055
2014-04-10,5934.71810089,1.0001031114370562e-08,0.0,0.0,-2793.2960893999993,9.997165761888027e-09,0.0,0,0,0,0,39050.534329687536,39020.860739221745,1.68,8.07,4.19,4.54,3.58,1.03,0.755,1.26,1.635,0.985,1.055
2014-04-11,5934.71810089,1.0001031114370562e-08,0.0,0.0,-2793.2960893999993,9.997165761888027e-09,0.0,0,0,0,0,39050.534329687536,39076.72666101044,1.68,8.15,4.17,4.5,3.56,1.02,0.755,1.24,1.64,0.97,1.055
2014-04-12,5934.71810089,1.0001031114370562e-08,0.0,0.0,-9.99943949864246e-09,9.997165761888027e-09,0.0,0,0,0,0,29086.511983302677,39056.838392853984,1.68,8.15,4.17,4.5,3.56,1.02,0.755,1.24,1.64,0.97,1.055
2014-04-13,5934.71810089,1.0001031114370562e-08,0.0,0.0,-9.99943949864246e-09,9.997165761888027e-09,0.0,0,0,0,0,29086.511983302677,39056.838392853984,1.68,8.15,4.17,4.5,3.56,1.02,0.755,1.24,1.64,0.97,1.055
2014-04-14,5934.71810089,1.0001031114370562e-08,0.0,0.0,-9.99943949864246e-09,9.997165761888027e-09,0.0,0,0,0,0,29086.511983302677,39027.16480234804,1.675,8.01,4.13,4.51,3.56,1.01,0.74,1.235,1.64,0.98,1.055
2014-04-15,5934.71810089,1.0001031114370562e-08,0.0,0.0,-9.99943949864246e-09,9.997165761888027e-09,0.0,0,0,0,0,29086.511983302677,38997.491211844084,1.67,8.1,4.16,4.48,3.6,1.01,0.74,1.255,1.64,0.965,1.055
2014-04-16,5934.71810089,1.0001031114370562e-08,0.0,0.0,-9.99943949864246e-09,9.997165761888027e-09,0.0,0,0,0,0,29086.511983302677,38878.79684982643,1.65,8.1,4.14,4.53,3.59,1.015,0.715,1.25,1.63,0.98,1.055
2014-04-17,5934.71810089,1.0001031114370562e-08,0.0,0.0,-9.99943949864246e-09,9.997165761888027e-09,0.0,0,0,0,0,29086.511983302677,38997.491211843735,1.67,8.1,4.15,4.47,3.64,1.015,0.715,1.245,1.64,0.975,1.055
2014-04-18,5934.71810089,1.0001031114370562e-08,0.0,0.0,-9.99943949864246e-09,9.997165761888027e-09,0.0,0,0,0,0,29086.511983302677,38997.491211848246,1.67,8.52,4.39,3.74,3.76,1.1667,0.84,1.37,1.63,0.975,1.055
2014-04-19,5934.71810089,1.0001031114370562e-08,0.0,0.0,-9.99943949864246e-09,9.997165761888027e-09,0.0,0,0,0,0,29086.511983302677,38997.491211848246,1.67,8.52,4.39,3.74,3.76,1.1667,0.84,1.37,1.63,0.975,1.055
2014-04-20,0.0,-1173.708920179999,-2277.90432802,2673.79679144,-9.99943949864246e-09,-8571.183680460003,0.0,-7299.27007299,0,0,0,68877.66925337364,38877.66925339126,1.67,8.52,4.39,3.74,3.76,1.1667,0.84,1.37,1.63,0.975,1.055
2014-04-21,0.0,-1173.708920179999,-2277.90432802,2673.79679144,-9.99943949864246e-09,-8571.183680460003,-11904.7619048,-7299.27007299,0,0,0,78857.66925340558,38857.6692533912,1.67,8.52,4.39,3.74,3.76,1.1667,0.84,1.37,1.63,0.975,1.055
2014-04-22,0.0,-1173.708920179999,-2277.90432802,2673.79679144,-9.99943949864246e-09,-8571.183680460003,-11904.7619048,-7299.27007299,0,0,0,78857.66925340558,45428.49385041344,1.66,8.11,4.18,4.41,3.57,1.015,0.705,1.245,1.63,0.97,1.055
2014-04-23,0.0,-1173.708920179999,-2277.90432802,2673.79679144,-9.99943949864246e-09,9.997165761888027e-09,-11904.7619048,-7299.27007299,0,0,0,70140.51831485718,45544.78418711329,1.665,8.11,4.18,4.46,3.65,1.015,0.705,1.245,1.64,0.975,1.055
2014-04-24,0.0,1.0001031114370562e-08,-2277.90432802,0.0,-9.99943949864246e-09,9.997165761888027e-09,0.0,-7299.27007299,0,0,0,64074.82425740267,45429.096575097334,1.665,8.2,4.18,4.47,3.65,1.025,0.7,1.25,1.645,0.98,1.055
2014-04-25,0.0,1.0001031114370562e-08,-2277.90432802,0.0,-9.99943949864246e-09,9.997165761888027e-09,0.0,0.0,0,0,0,54054.82425740638,44054.824257457854,1.665,8.52,4.39,3.74,3.76,1.1667,0.84,1.37,1.63,0.98,1.055
2014-04-26,0.0,1.0001031114370562e-08,-2277.90432802,0.0,-9.99943949864246e-09,9.997165761888027e-09,0.0,0.0,0,0,0,54054.82425740638,44054.824257457854,1.665,8.52,4.39,3.74,3.76,1.1667,0.84,1.37,1.63,0.98,1.055
2014-04-27,0.0,-1173.708920179999,-2277.90432802,2673.79679144,-9.99943949864246e-09,-8571.183680460003,-11904.7619048,-7299.27007299,0,0,0,83954.82425747215,43954.824257457774,1.665,8.52,4.39,3.74,3.76,1.1667,0.84,1.37,1.63,0.98,1.055
2014-04-28,0.0,-1173.708920179999,-2277.90432802,2673.79679144,-9.99943949864246e-09,-8571.183680460003,-11904.7619048,-7299.27007299,0,0,0,83954.82425747215,50866.49131742026,1.67,8.23,4.17,4.5,3.64,1.02,0.68,1.25,1.64,0.97,1.055
2014-04-29,0.0,-1173.708920179999,-2277.90432802,2673.79679144,-9.99943949864246e-09,-8571.183680460003,-11904.7619048,-7299.27007299,0,0,0,83954.82425747215,50698.87725910101,1.665,8.2,4.19,4.44,3.58,1.01,0.69,1.245,1.645,0.95,1.055
2014-04-30,5952.38095238,-1173.708920179999,-2277.90432802,0.0,-9.99943949864246e-09,9.997165761888027e-09,0.0,-7299.27007299,0,0,0,64185.933048727165,43850.423407772876,1.68,8.67,4.46,3.79,3.82,1.1599,0.83,1.37,1.64,0.9489,1.055
2014-05-01,5952.38095238,-1173.708920179999,-2277.90432802,0.0,-9.99943949864246e-09,9.997165761888027e-09,0.0,0.0,0,0,0,55153.30531150423,46029.192754642834,1.67,8.15,4.17,4.51,3.57,1.01,0.685,1.235,1.62,0.95,1.055
2014-05-02,5952.38095238,-1173.708920179999,-2277.90432802,2232.14285714,-9.99943949864246e-09,-9900.990099000002,-14598.540146,-8064.51612903,0,0,0,75073.30531152434,46050.910693253245,1.685,8.12,4.18,4.48,3.62,1.01,0.685,1.24,1.62,0.965,1.055
2014-05-03,5952.38095238,1.0001031114370562e-08,-2277.90432802,2232.14285714,-9.99943949864246e-09,-9900.990099000002,-14598.540146,-8064.51612903,0,0,0,65523.72784671765,46031.84966038936,1.685,8.12,4.18,4.48,3.62,1.01,0.685,1.24,1.62,0.965,1.055
2014-05-04,5952.38095238,1.0001031114370562e-08,-2277.90432802,0.0,-9.99943949864246e-09,9.997165761888027e-09,0.0,0.0,0,0,0,45443.72784669756,45951.84966038937,1.685,8.12,4.18,4.48,3.62,1.01,0.685,1.24,1.62,0.965,1.055
2014-05-05,5952.38095238,1.0001031114370562e-08,-2277.90432802,0.0,-9.99943949864246e-09,9.997165761888027e-09,0.0,0.0,0,0,0,45443.72784669756,45839.78490282412,1.67,8.15,4.19,4.52,3.59,1.015,0.68,1.25,1.61,0.97,1.055
