,ALF,AUI,WHF,DJW,DUI,HHV,AGF,TGG,BKI,PGF,FGG,Cash,TotalValue,Adj Close_ALF,Adj Close_AUI,Adj Close_WHF,Adj Close_DJW,Adj Close_DUI,Adj Close_HHV,Adj Close_AGF,Adj Close_TGG,Adj Close_BKI,Adj Close_PGF,Adj Close_FGG
2014-01-14,5988.0239521,0,0,0,0,0,0,0,0,0,0,19979.999999992986,29979.999999999985,1.67,8.0,3.96,4.85,3.48,1.04,0.79,1.4,1.57,0.965,1.055
2014-01-15,5988.0239521,0,0,0,0,0,0,0,0,0,0,19979.999999992986,30009.94011976049,1.675,8.0,4.0,4.86,3.53,1.025,0.785,1.415,1.56,0.97,1.055
2014-01-16,5988.0239521,0,0,0,0,0,0,0,0,0,0,19979.999999992986,29890.17964071849,1.655,7.99,4.02,4.8,3.54,1.04,0.79,1.45,1.58,0.965,1.055
2014-01-17,5988.0239521,0,0,0,0,0,0,0,0,0,0,19979.999999992986,29920.119760478985,1.66,8.52,4.0,4.87,3.54,1.03,0.785,1.45,1.58,0.985,1.055
2014-01-18,5988.0239521,0,0,0,0,0,0,0,0,0,0,19979.999999992986,29920.119760478985,1.66,8.52,4.0,4.87,3.54,1.03,0.785,1.45,1.58,0.985,1.055
2014-01-19,5988.0239521,-1173.70892019,0,0,0,0,0,0,0,0,0,29960.000000011747,29900.11976047895,1.66,8.52,4.0,4.87,3.54,1.03,0.785,1.45,1.58,0.985,1.055
2014-01-20,5988.0239521,-1173.70892019,0,0,0,0,0,0,0,0,0,29960.000000011747,30458.228894324948,1.665,8.07,3.93,4.86,3.53,1.035,0.785,1.455,1.585,0.985,1.055
2014-01-21,5988.0239521,-1173.70892019,0,0,0,0,0,0,0,0,0,29960.000000011747,30469.965983526847,1.665,8.06,3.92,4.9,3.5,1.04,0.795,1.45,1.6,0.985,1.055
2014-01-22,5988.0239521,0.0,0,0,0,0,0,0,0,0,0,19939.99999999291,29939.99999999991,1.67,8.52,3.96,4.81,3.54,1.05,0.805,1.43,1.615,0.99,1.055
2014-01-23,5988.0239521,0.0,2551.02040816,0,0,0,0,0,0,0,0,9920.000000005735,29890.059880239438,1.665,8.06,3.92,4.83,3.52,1.045,0.8,1.465,1.6,1.0,1.055
